"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"PARIN","Parin Enterprises Limited","7(2)","P.P. FURNITURE  PRIVATE LIMITED","Promoter Group","Equity Shares","1323250","11.9",,"11250","6993788","Sell","Equity Shares","1312000","11.8","27-Apr-2026","27-Apr-2026","29-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","30-Apr-2026 13:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197849_1661884_30042026014913_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","LLOYDS LUXURIES EMPLOYEES WELFARE TRUST","Other","Equity Shares","273737","1.13",,"40757","611355","Sell","Equity Shares","232980","0.96","29-Apr-2026","29-Apr-2026","29-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","Nitin. A. Kanojia","Employees/Designated Employees","Equity Shares","2413","0.01",,"8445","126675","Buy","Equity Shares","10858","0.04","29-Apr-2026","29-Apr-2026","29-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","Shubham Mishra","Employees/Designated Employees","Equity Shares","360","0",,"2040","30600","Buy","Equity Shares","2400","0.01","29-Apr-2026","29-Apr-2026","29-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","Sachin Bhoir","Employees/Designated Employees","Equity Shares","3641","0.02",,"2913","43695","Buy","Equity Shares","6554","0.03","29-Apr-2026","29-Apr-2026","30-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","Kishor Kalokhe","Employees/Designated Employees","Equity Shares","9040","0.04",,"7232","108480","Buy","Equity Shares","16272","0.07","29-Apr-2026","29-Apr-2026","30-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","PARESH PARAB","Employees/Designated Employees","Equity Shares","5840","0.02",,"4672","70080","Buy","Equity Shares","10512","0.04","29-Apr-2026","29-Apr-2026","29-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","RANJANA RANA","Employees/Designated Employees","Equity Shares","543","0",,"12815","192225","Buy","Equity Shares","13358","0.1","29-Apr-2026","29-Apr-2026","29-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"LLOYDS","Lloyds Luxuries Limited","7(2)","Suryakant Wafelkar","Employees/Designated Employees","Equity Shares","300","0",,"2640","39600","Buy","Equity Shares","2940","0.01","29-Apr-2026","29-Apr-2026","30-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","30-Apr-2026 11:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197847_1661727_30042026113836_WEB.xml"
"SAIFL","Sameera Agro And Infra Limited","7(2)","Satya Murthy Sivalenka","Promoters","Equity Shares","35027000","58.82",,"728000","6188000","Sell","Equity Shares","34299000","57.59","28-Apr-2026","28-Apr-2026","29-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","29-Apr-2026 17:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197844_1661296_29042026055814_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","682927","0.11",,"159","318","Sell","Equity Shares","682768","0.11","27-Apr-2026","27-Apr-2026","28-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","29-Apr-2026 12:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197841_1660882_29042026123910_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Chitra Mohan","Immediate relative","Equity Shares","34000","0.01",,"48000","0","Buy","Equity Shares","82000","0.02","24-Apr-2026","24-Apr-2026","27-Apr-2026","Off Market","-","-","0","0","0","0","NSE","-","28-Apr-2026 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Anshuman Maheshwary","Employees/Designated Employees","Equity Shares","155152","0.04",,"10000","10414500","Sell","Equity Shares","145152","0.04","24-Apr-2026","24-Apr-2026","27-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","28-Apr-2026 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Radhakrishnan Mohan","Employees/Designated Employees","Equity Shares","82805","0.01",,"34000","0","Sell","Equity Shares","48805","0.01","24-Apr-2026","24-Apr-2026","27-Apr-2026","Off Market","-","-","0","0","0","0","NSE","-","28-Apr-2026 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Anshuman Maheshwary","Employees/Designated Employees","Equity Shares","145152","0.04",,"12000","12507960","Sell","Equity Shares","133152","0.03","27-Apr-2026","27-Apr-2026","27-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","28-Apr-2026 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Chitra Mohan","Immediate relative","Equity Shares","Nil","0",,"34000","0","Buy","Equity Shares","34000","0.01","24-Apr-2026","24-Apr-2026","27-Apr-2026","Off Market","-","-","0","0","0","0","NSE","-","28-Apr-2026 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Radhakrishnan Mohan","Employees/Designated Employees","Equity Shares","48805","0.01",,"48000","0","Sell","Equity Shares","805","0","24-Apr-2026","24-Apr-2026","27-Apr-2026","Off Market","-","-","0","0","0","0","NSE","-","28-Apr-2026 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197839_1660249_28042026042547_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Vijayasimha Alilughatta","Employees/Designated Employees","Equity Shares","30732","0.01",,"10000","5500000","Sell","Equity Shares","20732","0.01","27-Apr-2026","27-Apr-2026","28-Apr-2026","Market Sale","-","-","0","0","0","0","BSE","-","28-Apr-2026 16:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197838_1660225_28042026041658_WEB.xml"
"ASMS","Bartronics India Limited","7(2)","Kinex India Private Limited","Promoters","Equity Shares","206596947","67.83",,"1018382","8098807","Sell","Equity Shares","205578565","67.5","25-Mar-2026","25-Mar-2026","26-Mar-2026","Market Sale","-","-","0","0","0","0","NSE","-","28-Apr-2026 13:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197832_1660034_28042026013950_WEB.xml"
"ASMS","Bartronics India Limited","7(2)","Kinex India Private Limited","Promoters","Equity Shares","205578565","67.5",,"5100000","35718620","Sell","Equity Shares","200478565","65.82","30-Mar-2026","30-Mar-2026","01-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","28-Apr-2026 13:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197832_1660034_28042026013950_WEB.xml"
"MIDWESTLTD","Midwest Limited","7(2)","Kollareddy Ranganayakamma","Promoter Group","Equity Shares","281770","0.78",,"1408851","0","Buy","Equity Shares","1690621","4.68","22-Apr-2026","22-Apr-2026","24-Apr-2026","Gift","-","-","0","0","0","0","NA","-","27-Apr-2026 17:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197830_1659464_27042026051523_WEB.xml"
"MIDWESTLTD","Midwest Limited","7(2)","Rama Raghava Reddy Kollareddy","Promoters","Equity Shares","23179774","64.1",,"1408851","0","Sell","Equity Shares","21770923","60.21","22-Apr-2026","22-Apr-2026","24-Apr-2026","Gift","-","-","0","0","0","0","NA","-","27-Apr-2026 17:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197830_1659464_27042026051523_WEB.xml"
"MIDWESTLTD","Midwest Limited","7(2)","Rama Raghava Reddy Kollareddy","Promoters","Equity Shares","21770923","60.21",,"150000","0","Sell","Equity Shares","21620923","59.79","22-Apr-2026","22-Apr-2026","24-Apr-2026","Gift","-","-","0","0","0","0","NA","-","27-Apr-2026 16:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197827_1659424_27042026045345_WEB.xml"
"MIDWESTLTD","Midwest Limited","7(2)","Uma Priyadarshini Kollareddy","Promoters","Equity Shares","388124","1.07",,"150000","0","Buy","Equity Shares","538124","1.49","22-Apr-2026","22-Apr-2026","24-Apr-2026","Gift","-","-","0","0","0","0","NA","-","27-Apr-2026 16:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197827_1659424_27042026045345_WEB.xml"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","7(2)","SCM Commercial Private Limited","Promoter Group","Equity Shares","Nil","0",,"7400000","1291667644","Buy","Equity Shares","7400000","5.86","22-Apr-2026","22-Apr-2026","23-Apr-2026","Inter-se-Transfer","-","-","0","0","0","0","NA","-","27-Apr-2026 16:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197824_1659395_27042026043939_WEB.xml"
"DEEPAKFERT","Deepak Fertilizers And Petrochemicals Corporation Limited","7(2)","Robust Marketing Services Private Limited","Promoters","Equity Shares","11067301","8.77",,"7400000","1291667644","Sell","Equity Shares","3667301","2.91","22-Apr-2026","22-Apr-2026","23-Apr-2026","Inter-se-Transfer","-","-","0","0","0","0","NA","-","27-Apr-2026 16:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197824_1659395_27042026043939_WEB.xml"
"COFFEEDAY","Coffee Day Enterprises Limited","7(2)","Coffee Day Consolidations Private Limited","Promoter Group","Equity Shares","5454823","2.58",,"4269780","0","Pledge Revoke","Equity Shares","5454823","2.58","26-Feb-2026","25-Mar-2026","07-Apr-2026","-","-","-","0","0","0","0","NA","-","27-Apr-2026 14:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197820_1659246_27042026023420_WEB.xml"
"COFFEEDAY","Coffee Day Enterprises Limited","7(2)","Coffee Day Consolidations Private Limited","Promoter Group","Equity Shares","5454823","2.58",,"150000","0","Pledge Revoke","Equity Shares","5454823","2.58","24-Apr-2026","24-Apr-2026","27-Apr-2026","-","-","-","0","0","0","0","NA","-","27-Apr-2026 14:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197818_1659242_27042026023231_WEB.xml"
"AQYLON","Aqylon Nexus Limited","7(2)","KURJIBHAI PREMJIBHAI RUPARELIYA","Promoters","Equity Shares","148002746","58.33",,"11186984","571431143","Sell","Equity Shares","136815762","53.92","24-Apr-2026","24-Apr-2026","25-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","27-Apr-2026 12:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197816_1659181_27042026124558_WEB.xml"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","7(2)","Maharaja Shree Umaid Mills Ltd","Promoter Group","Equity Shares","121275","3.92",,"1220606","0","Buy","Equity Shares","1341881","43.34","25-Apr-2026","25-Apr-2026","25-Apr-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","25-Apr-2026 22:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197811_1659050_25042026101017_WEB.xml"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","7(2)","PLACID LIMITED","Promoter Group","Equity Shares","1220606","39.43",,"1220606","0","Sell","Equity Shares","Nil","0","25-Apr-2026","25-Apr-2026","25-Apr-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","25-Apr-2026 22:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197811_1659050_25042026101017_WEB.xml"
"SAIFL","Sameera Agro And Infra Limited","7(2)","Satya Murthy Sivalenka","Promoters","Equity Shares","5380000","9.03",,"1601000","15369600","Sell","Equity Shares","3779000","6.34","22-Apr-2026","23-Apr-2026","25-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","25-Apr-2026 16:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197809_1658955_25042026043253_WEB.xml"
"PARIN","Parin Enterprises Limited","7(2)","P.P. FURNITURE  PRIVATE LIMITED","Promoter Group","Equity Shares","1332250","11.98",,"9000","5630670","Sell","Equity Shares","1323250","11.9","24-Apr-2026","24-Apr-2026","25-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","25-Apr-2026 15:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197807_1658919_25042026032420_WEB.xml"
"MGEL","Mangalam Global Enterprise Limited","7(2)","Vasrsha Biswajit Adhikari","Director","Equity Shares","Nil","0",,"10000","104400","Buy","Equity Shares","10000","0","20-Mar-2026","20-Mar-2026","22-Apr-2026","Market Purchase","-","-","0","0","0","0","NSE","-","24-Apr-2026 17:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197805_1658560_24042026052820_WEB.xml"
"WIPRO","Wipro Limited","7(2)","Amit Kumar","Employees/Designated Employees","ADR/GDR/FCCB","301829","0",,"301829","59912261","Sell","ADR/GDR/FCCB","Nil","0","22-Apr-2026","22-Apr-2026","23-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","24-Apr-2026 17:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197803_1658529_24042026051342_WEB.xml"
"OMAXE","Omaxe Limited","7(2)","Guild Builders Private Limited","Promoters","Equity Shares","116273971","63.57",,"35257799","352577990","Pledge","Equity Shares","116273971","63.57","20-Apr-2026","20-Apr-2026","22-Apr-2026","Others","-","-","0","0","0","0","NA","-","24-Apr-2026 17:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197801_1658515_24042026050849_WEB.xml"
"PARIN","Parin Enterprises Limited","7(2)","P.P. FURNITURE  PRIVATE LIMITED","Promoter Group","Equity Shares","1354500","12.18",,"14000","8458940","Sell","Equity Shares","1340500","12.05","22-Apr-2026","22-Apr-2026","24-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","24-Apr-2026 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197798_1658444_24042026042903_WEB.xml"
"PARIN","Parin Enterprises Limited","7(2)","P.P. FURNITURE  PRIVATE LIMITED","Promoter Group","Equity Shares","1340500","12.05",,"8250","5042730","Sell","Equity Shares","1332250","11.98","23-Apr-2026","23-Apr-2026","24-Apr-2026","Market Sale","-","-","0","0","0","0","NSE","-","24-Apr-2026 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197798_1658444_24042026042903_WEB.xml"
"JMFINANCIL","JM Financial Limited","7(2)","Rushank Jain","Employees/Designated Employees","Equity Shares","1528","0",,"16920","2245284","Buy","Equity Shares","18448","0","20-Apr-2026","20-Apr-2026","22-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","24-Apr-2026 13:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml"
"JMFINANCIL","JM Financial Limited","7(2)","Krishna Rao","Employees/Designated Employees","Equity Shares","5392","0",,"13707","1818919","Buy","Equity Shares","19099","0","20-Apr-2026","20-Apr-2026","22-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","24-Apr-2026 13:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml"
"JMFINANCIL","JM Financial Limited","7(2)","Devan Kampani","Employees/Designated Employees","Equity Shares","1464093","0.15",,"31936","4237907","Buy","Equity Shares","1496029","0.16","20-Apr-2026","20-Apr-2026","22-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","24-Apr-2026 13:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml"
"JMFINANCIL","JM Financial Limited","7(2)","Pratik Rokade","Employees/Designated Employees","Equity Shares","11028","0",,"16920","2245284","Buy","Equity Shares","27948","0","20-Apr-2026","20-Apr-2026","22-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","24-Apr-2026 13:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml"
"JMFINANCIL","JM Financial Limited","7(2)","Venugopal Nyalapelli","Employees/Designated Employees","Equity Shares","Nil","0",,"9758","1294887","Buy","Equity Shares","9758","0","20-Apr-2026","20-Apr-2026","24-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","24-Apr-2026 13:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197797_1658223_24042026010925_WEB.xml"
"GAYAPROJ","Gayatri Projects Limited","7(2)","T V Sandeep Kumar Reddy","Promoters","Equity Shares","Nil","0",,"100000000","1000000000","Buy","Equity Shares","100000000","21.54","22-Apr-2026","22-Apr-2026","23-Apr-2026","Preferential Offer","-","-","0","0","0","0","NA","-","23-Apr-2026 19:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197794_1657982_23042026073250_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HCL Technologies Stock Options Trust","-","Equity Shares","7898121","0.29",,"653","944173","Sell","Equity Shares","7897468","0.29","20-Apr-2026","20-Apr-2026","22-Apr-2026","ESOP","-","-","0","0","0","0","NA","-","23-Apr-2026 18:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1197792_1657937_23042026063646_WEB.xml"
