"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"M&M","Mahindra & Mahindra Limited","7(2)","Sriram Ramachandran","Employees/Designated Employees","Equity Shares","34000","0",,"24","81600","Sell","Equity Shares","33976","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188624_1538256_30092025050503_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Daya Nand Sharma","-","Equity Shares","5998","0.01",,"3000","675000","Buy","Equity Shares","8998","0.01","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Jashobant Singha Ray","-","Equity Shares","15000","0.02",,"1500","337500","Buy","Equity Shares","16500","0.02","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Pawan Kumar Jain","-","Equity Shares","78000","0.08",,"3000","675000","Buy","Equity Shares","81000","0.08","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Dilip Kumar Barnwal","-","Equity Shares","39500","0.04",,"3000","675000","Buy","Equity Shares","42500","0.04","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Kali Charan Sharma","-","Equity Shares","84741","0.09",,"3000","675000","Buy","Equity Shares","87741","0.09","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Nawal Singh Yadav","-","Equity Shares","2200","0",,"2000","450000","Buy","Equity Shares","4200","0","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Kishore Kunal","-","Equity Shares","43367","0.05",,"2000","450000","Buy","Equity Shares","45367","0.05","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Adarsh Kumar Jain","-","Equity Shares","37500","0.04",,"2500","562500","Buy","Equity Shares","40000","0.04","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Lalit Sharma","-","Equity Shares","84252","0.09",,"8000","1800000","Buy","Equity Shares","92252","0.1","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Rajeev Gupta","Director","Equity Shares","368691","0.39",,"12000","2700000","Buy","Equity Shares","380691","0.4","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"KEI","KEI Industries Limited","7(2)","Manoj Kakkar","-","Equity Shares","58000","0.06",,"8000","1800000","Buy","Equity Shares","66000","0.07","29-Sep-2025","29-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188622_1538238_30092025050127_WEB.xml"
"APOLLOHOSP","Apollo Hospitals Enterprise Limited","7(2)","K VISHWESHWAR REDDY","Promoters","Equity Shares","1577350","1.1",,"70000","521100000","Pledge","Equity Shares","1577350","1.1","29-Sep-2025","29-Sep-2025","30-Sep-2025","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2025 17:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188620_1538232_30092025050026_WEB.xml"
"ORIENTBELL","Orient Bell Limited","7(2)","ALFA MERCANTILE LIMITED","Promoter Group","Equity Shares","113594","0.77",,"741","216643","Buy","Equity Shares","114335","0.78","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188618_1538196_30092025045109_WEB.xml"
"CHANDAN","Chandan Healthcare Limited","7(2)","PRAGYA SINGH","Immediate relative","Equity Shares","24800","0.1",,"24800","6080960","Sell","Equity Shares","Nil","0","24-Sep-2025","26-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188617_1538179_30092025044748_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Ashwini P K","Employees/Designated Employees","Equity Shares","12354","0.01",,"2354","1100000","Sell","Equity Shares","10000","0.01","29-Sep-2025","29-Sep-2025","30-Sep-2025","Off Market","-","-","0","0","0","0","NA","-","30-Sep-2025 16:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188614_1538086_30092025041220_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","SUNU MANUEL","Employees/Designated Employees","Equity Shares","96050","0.07",,"10000","6294500","Pledge","Equity Shares","96050","0.07","29-Sep-2025","29-Sep-2025","30-Sep-2025","Pledge Creation","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188614_1538086_30092025041220_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Venkataramanan P","Employees/Designated Employees","Equity Shares","61319","0.04",,"7500","4665482","Sell","Equity Shares","53819","0.04","29-Sep-2025","29-Sep-2025","29-Sep-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188614_1538086_30092025041220_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Punitha Rani Singh","Employees/Designated Employees","Equity Shares","8897","0.01",,"2765","1795649","Sell","Equity Shares","6132","0","26-Sep-2025","26-Sep-2025","30-Sep-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188614_1538086_30092025041220_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Premal Brahmbhatt","-","Equity Shares","30575","0",,"2560","1971200","Sell","Equity Shares","28015","0","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188613_1538082_30092025041042_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Ritesh Sharma","-","Equity Shares","122364","0.02",,"11500","8843500","Sell","Equity Shares","110864","0.01","26-Sep-2025","26-Sep-2025","27-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188613_1538082_30092025041042_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Ritesh Sharma","-","Equity Shares","124364","0.02",,"2000","1542000","Sell","Equity Shares","122364","0.02","25-Sep-2025","25-Sep-2025","26-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188613_1538082_30092025041042_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Rohit Bhatnagar","-","Equity Shares","5110","0",,"1000","744500","Sell","Equity Shares","4110","0","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188613_1538082_30092025041042_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Rohit Bhatnagar","-","Equity Shares","6610","0",,"1500","1129785","Sell","Equity Shares","5110","0","23-Sep-2025","25-Sep-2025","27-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188613_1538082_30092025041042_WEB.xml"
"HDBFS","HDB Financial Services Limited","7(2)","Nanda Kumar S","-","Equity Shares","47381","0.01",,"2500","1877935","Sell","Equity Shares","44881","0.01","26-Sep-2025","29-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 16:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188613_1538082_30092025041042_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","MRINAL KAPOOR","Employees/Designated Employees","Equity Shares","3000","0",,"3000","9377301","Sell","Equity Shares","Nil","0","30-Sep-2025","30-Sep-2025","30-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 15:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188611_1538050_30092025035948_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Dr. Lal PathLabs Employees Welfare Trust","Other","Equity Shares","308857","0.37",,"450","329241","Sell","Equity Shares","308407","0.37","30-Sep-2025","30-Sep-2025","30-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2025 15:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188611_1538050_30092025035948_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Rajiv Gidla","Employees/Designated Employees","Equity Shares","6130","0",,"300","407400","Sell","Equity Shares","5830","0","25-Sep-2025","25-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 15:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188609_1538015_30092025034815_WEB.xml"
"RACE","Race Eco Chain Limited","7(2)","Anil kumar Behl","Director","Equity Shares","132500","0.68",,"10000","2222500","Buy","Equity Shares","142500","0.74","29-Sep-2025","30-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 15:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188607_1537993_30092025033819_WEB.xml"
"CONTROLPR","Control Print Limited","7(2)","SHIVA BASANT KABRA","Promoter Group","Equity Shares","1588969","9.93",,"25483","20559684","Buy","Equity Shares","1614452","10.09","26-Sep-2025","26-Sep-2025","26-Sep-2025","Others","-","-","0","0","0","0","NA","-","30-Sep-2025 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188604_1537968_30092025032233_WEB.xml"
"CONTROLPR","Control Print Limited","7(2)","LATE PUSHPA KABRA","Promoters","Equity Shares","25483","0.16",,"25483","20559684","Sell","Equity Shares","Nil","0","26-Sep-2025","26-Sep-2025","26-Sep-2025","Others","-","-","0","0","0","0","NA","-","30-Sep-2025 15:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188604_1537968_30092025032233_WEB.xml"
"CHEMBONDCH","Chembond Chemicals Limited","7(2)","Nirmal V. Shah","Promoters","Equity Shares","3609286","13.42",,"5000","822500","Buy","Equity Shares","3614286","13.44","29-Sep-2025","29-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 14:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188601_1537876_30092025024616_WEB.xml"
"CHEMBONDCH","Chembond Chemicals Limited","7(2)","Nirmal V. Shah","Promoters","Equity Shares","3604286","13.4",,"5000","825000","Buy","Equity Shares","3609286","13.42","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 14:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188601_1537876_30092025024616_WEB.xml"
"SGLTL","Standard Glass Lining Technology Limited","7(2)","RADHIKA NANNAPANENI","Director","Equity Shares","152850","0.07",,"600","107220","Buy","Equity Shares","153450","0.07","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 14:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188599_1537837_30092025022211_WEB.xml"
"SGLTL","Standard Glass Lining Technology Limited","7(2)","RADHIKA NANNAPANENI","Director","Equity Shares","153450","0.07",,"662","119491","Buy","Equity Shares","154112","0.07","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","BSE","-","30-Sep-2025 14:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188599_1537837_30092025022211_WEB.xml"
"SGLTL","Standard Glass Lining Technology Limited","7(2)","RADHIKA NANNAPANENI","Director","Equity Shares","152100","0.07",,"750","135000","Buy","Equity Shares","152850","0.07","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","BSE","-","30-Sep-2025 14:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188599_1537837_30092025022211_WEB.xml"
"INNOVACAP","Innova Captab Limited","7(2)","Gian Parkash Aggarwal","Immediate relative","Equity Shares","6182464","10.8",,"1300000","1068600000","Pledge","Equity Shares","6182464","10.8","29-Sep-2025","29-Sep-2025","29-Sep-2025","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2025 14:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188597_1537824_30092025020819_WEB.xml"
"SPECIALITY","Speciality Restaurants Limited","7(2)","Anjan Chatterjee","Promoters","Equity Shares","12195000","25.28",,"3263","411635","Buy","Equity Shares","12198263","25.29","19-Sep-2025","19-Sep-2025","22-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 14:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188596_1537820_30092025020708_WEB.xml"
"SPECIALITY","Speciality Restaurants Limited","7(2)","Anjan Chatterjee","Promoters","Equity Shares","12198263","25.29",,"46737","6487417","Buy","Equity Shares","12245000","25.39","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 14:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188596_1537820_30092025020708_WEB.xml"
"INNOVACAP","Innova Captab Limited","7(2)","Gian Parkash Aggarwal","Immediate relative","Equity Shares","6182464","10.8",,"950000","813247500","Pledge","Equity Shares","6182464","10.8","18-Sep-2025","18-Sep-2025","26-Sep-2025","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2025 14:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188593_1537813_30092025020210_WEB.xml"
"SHAREINDIA","Share India Securities Limited","7(2)","Meera Gupta","Promoter Group","Equity Shares","Nil","0",,"72080","12938360","Buy","Equity Shares","72080","0.03","05-Oct-2017","29-Jun-2025","29-Jun-2025","Others","-","-","0","0","0","0","NA","-","30-Sep-2025 12:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188589_1537754_30092025125244_WEB.xml"
"SHAREINDIA","Share India Securities Limited","7(2)","Sheetal Agarwal","Promoter Group","Equity Shares","Nil","0",,"8160","1464720","Buy","Equity Shares","8160","0","05-Oct-2017","29-Jun-2025","29-Jun-2025","Others","-","-","0","0","0","0","NA","-","30-Sep-2025 12:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188589_1537754_30092025125244_WEB.xml"
"SHAREINDIA","Share India Securities Limited","7(2)","Neeru Aggarwal","Promoter Group","Equity Shares","Nil","0",,"63000","11308500","Buy","Equity Shares","63000","0.03","05-Oct-2017","29-Jun-2025","29-Jun-2025","Others","-","-","0","0","0","0","NA","-","30-Sep-2025 12:52","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188589_1537754_30092025125244_WEB.xml"
"SALASAR","Salasar Techno Engineering Limited","7(2)","BASE ENGINEERING LLP","Promoter Group","Equity Shares","6094575","0.35",,"3070000","28290050","Sell","Equity Shares","3024575","0.18","25-Sep-2025","25-Sep-2025","26-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 12:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188588_1537748_30092025125011_WEB.xml"
"SALASAR","Salasar Techno Engineering Limited","7(2)","ALOK KUMAR","Promoters","Equity Shares","49901088","2.89",,"3010000","27658890","Sell","Equity Shares","46891088","2.72","25-Sep-2025","25-Sep-2025","26-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 12:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188588_1537748_30092025125011_WEB.xml"
"SALASAR","Salasar Techno Engineering Limited","7(2)","SHIKHAR FABTECH PVT LTD","Promoter Group","Equity Shares","64469345","3.73",,"4100225","37804074","Sell","Equity Shares","60369120","3.5","25-Sep-2025","25-Sep-2025","26-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2025 12:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188588_1537748_30092025125011_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Bajaj Allianz General Insurance Co. Ltd.","Promoter Group","Equity Shares","577000","0.01",,"153000","151428484","Buy","Equity Shares","730000","0.01","29-Sep-2025","29-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 12:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188585_1537727_30092025123909_WEB.xml"
"RUBFILA","Rubfila International Limited","7(2)","HARDIK B PATEL","Promoters","Equity Shares","4547504","8.38",,"4300","352252","Buy","Equity Shares","4551804","8.39","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","BSE","-","30-Sep-2025 11:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188582_1537623_30092025111420_WEB.xml"
"RUBFILA","Rubfila International Limited","7(2)","HARDIK B PATEL","Promoters","Equity Shares","4539504","8.37",,"8000","655318","Buy","Equity Shares","4547504","8.38","29-Sep-2025","29-Sep-2025","30-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2025 11:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188582_1537623_30092025111420_WEB.xml"
"JUBLINGREA","Jubilant Ingrevia Limited","7(2)","Jubilant Ingrevia Employees Welfare Trust","Other","Equity Shares","1320251","0.83",,"11932","7755800","Sell","Equity Shares","1308319","0.82","26-Sep-2025","26-Sep-2025","29-Sep-2025","ESOP","-","-","0","0","0","0","NSE","-","30-Sep-2025 11:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188580_1537617_30092025111033_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Penmetsa Venkata Krishnam Raju","Promoters","Equity Shares","85988","0.93",,"22000","788880","Sell","Equity Shares","63988","0.69","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Satyanarayana Raju Bhupathiraju","Promoters","Equity Shares","215615","2.34",,"38470","1380454","Sell","Equity Shares","177145","1.92","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Gaddam Venkata Ramana","Promoters","Equity Shares","750207","8.14",,"100000","3592016","Sell","Equity Shares","650207","7.05","23-Sep-2025","23-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Alluri Srinivasa Raju","Promoters","Equity Shares","129972","1.41",,"21464","769568","Sell","Equity Shares","108508","1.18","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Alluri Anantha Laxmi","Promoters","Equity Shares","121891","1.32",,"21250","761363","Sell","Equity Shares","100641","1.09","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Alluri Prabhakar Raju","Promoters","Equity Shares","164409","1.78",,"23000","824670","Sell","Equity Shares","141409","1.53","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","ALLURI RANGA RAJU","Promoters","Equity Shares","142093","1.54",,"21250","761788","Sell","Equity Shares","120843","1.31","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Alluri Maithili","Promoters","Equity Shares","127521","1.38",,"22726","814864","Sell","Equity Shares","104795","1.14","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Pericharla Kishore Raju","Promoters","Equity Shares","74312","0.81",,"22000","788880","Sell","Equity Shares","52312","0.57","23-Sep-2025","24-Sep-2025","25-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 22:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188577_1537541_29092025105542_WEB.xml"
"MOSCHIP","Moschip Technologies Limited","7(2)","Venkata Sudhakar Simhadri","Immediate relative","Equity Shares","3885823","2.02",,"20000","5448000","Sell","Equity Shares","3865823","2.01","22-Sep-2025","26-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 21:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188574_1537514_29092025095936_WEB.xml"
"EEPL","Eppeltone Engineers Limited","7(2)","ROHIT CHOWDHARY","Promoters","Equity Shares","5127540","39.57",,"20000","4027800","Buy","Equity Shares","5147540","39.72","29-Sep-2025","29-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Sep-2025 21:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188572_1537501_29092025094418_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Bejoy George","-","Equity Shares","14611","0",,"2873","4149187","Buy","Equity Shares","17484","0","23-Sep-2025","23-Sep-2025","25-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","29-Sep-2025 20:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188570_1537459_29092025085708_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","DEVANATHAN DILIP KUMAR","-","Equity Shares","2921","0",,"1921","2774308","Buy","Equity Shares","4842","0","23-Sep-2025","23-Sep-2025","25-Sep-2025","ESOP","-","-","0","0","0","0","NA","-","29-Sep-2025 20:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188570_1537459_29092025085708_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","BOMANAHALLI RANGASWAMAIAH GIRISH","Employees/Designated Employees","Equity Shares","3493","0",,"3493","0","Sell","Equity Shares","Nil","0","29-Sep-2025","29-Sep-2025","29-Sep-2025","Gift","-","-","0","0","0","0","NA","-","29-Sep-2025 20:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188568_1537439_29092025084342_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Srinivasa Raghavan","Employees/Designated Employees","Equity Shares","106378","0.08",,"5000","3247745","Sell","Equity Shares","101378","0.07","26-Sep-2025","26-Sep-2025","29-Sep-2025","Invocation of pledge","-","-","0","0","0","0","NSE","-","29-Sep-2025 20:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188568_1537439_29092025084342_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Deepti Gautam Tewari","Employees/Designated Employees","Equity Shares","58005","0.04",,"7900","5135000","Sell","Equity Shares","50105","0.04","26-Sep-2025","26-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 20:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188568_1537439_29092025084342_WEB.xml"
"HCG","Healthcare Global Enterprises Limited","7(2)","Deepti Gautam Tewari","Employees/Designated Employees","Equity Shares","58105","0.04",,"100","65455","Sell","Equity Shares","58005","0.04","25-Sep-2025","25-Sep-2025","29-Sep-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Sep-2025 20:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188568_1537439_29092025084342_WEB.xml"
"MANGLMCEM","Mangalam Cement Limited","7(2)","AVA TRADING AND CONSULTING PRIVATE LIMITED","Promoter Group","Equity Shares","20000","0.07",,"37000","27860819","Buy","Equity Shares","57000","0.21","29-Sep-2025","29-Sep-2025","29-Sep-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Sep-2025 20:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1188567_1537411_29092025082359_WEB.xml"
